url,titles,author,num_reviews,num_ratings,avg_rating,num_pages,original_publish_year,book_series,genre,awards,places,average_rating_flo,minmax_norm_ratings,mean_norm_ratings
https://www.goodreads.com/book/show/34811896-pandemic,Pandemic,A.G. Riddle,27950,1885,4.05,722,Not found,The Extinction Files #1,"Young Adult, Science Fiction, Dystopia",Not found,,4.05,8.29,1.9715499999999988
https://www.goodreads.com/book/show/11553.Boy_s_Life,Boy's Life,Robert R. McCammon,29043,3322,4.37,580,1991,,"Fiction, Fantasy, Magical Realism","Bram Stoker Award for Best Novel (1991), World Fantasy Award for Best Novel (1992), Japan Adventure Fiction Association Prize 日本冒険小説協会大賞特別賞 for Best Translated Novel (1995)","Zephyr - Alabama,Alabama",4.37,8.866,2.5475499999999993
https://www.goodreads.com/book/show/4711854-the-machine-stops,The Machine Stops,E.M. Forster,12608,1496,4.07,48,1909,,"Science Fiction, Fiction, Apocalyptic",Prometheus Hall of Fame Award (2012),,4.07,8.326,2.0075499999999993
https://www.goodreads.com/book/show/104342.Grass,Grass,Sheri S. Tepper,11782,723,4.04,544,1989,Arbai #1,"Fiction, Science Fiction, Dystopia",Hugo Award Nominee for Best Novel (1990),,4.04,8.272,1.953549999999999
https://www.goodreads.com/book/show/3032314-the-other-side-of-the-island,The Other Side of the Island,Allegra Goodman,4761,589,3.69,280,Not found,,"Fiction, Travel, Thriller","Vermont Golden Dome Book Award Nominee (2010), Missouri Truman Readers Award Nominee (2011)",,3.69,7.6419999999999995,1.323549999999999
https://www.goodreads.com/book/show/60932.Parable_of_the_Talents,Parable of the Talents,Octavia E. Butler,37908,3427,4.29,448,1998,Earthseed #2,"Fiction, Apocalyptic, Post Apocalyptic",Nebula Award for Best Novel (1999),The United States of America,4.29,8.722,2.403549999999999
https://www.goodreads.com/book/show/18710190-allegiant,Allegiant,Veronica Roth,930379,67768,3.61,526,Not found,Divergent #3,"Fiction, Science Fiction, Environment",Goodreads Choice Award for Best Young Adult Fantasy & Science Fiction (2013),Chicago - Illinois,3.61,7.497999999999999,1.1795499999999988
https://www.goodreads.com/book/show/8534899-forsaken,Forsaken,Jana Oliver,18241,1511,3.99,422,Not found,The Demon Trappers #1,"Science Fiction, Fiction, Thriller",Not found,Atlanta - Georgia,3.99,8.182,1.8635499999999996
https://www.goodreads.com/book/show/11366397-the-program,The Program,Suzanne Young,49490,6054,4.05,405,Not found,The Program #1,"Science Fiction, Fiction, Fantasy",Missouri Gateway Readers Award Nominee (2016),Oregon,4.05,8.29,1.9715499999999988
https://www.goodreads.com/book/show/12393909-revealing-eden,Revealing Eden,Victoria Foyt,928,366,2.05,307,2011,Save the Pearls #1,"Science Fiction, Dystopia, Young Adult",Eric Hoffer Book Award,,2.05,4.6899999999999995,-1.6284500000000013
https://www.goodreads.com/book/show/11112619-fever,Fever,Lauren DeStefano,44498,3334,3.78,341,Not found,The Chemical Garden #2,"Science Fiction, Dystopia, Fiction",Not found,,3.78,7.804,1.4855499999999986
